source_id,source_type,title,author_or_body,date_or_year,identifier,canonical_url,archive_or_mirror,rights_status,topics,research_state,notes
SRC-0001,rfc,Host Software,Steve Crocker,1969-04-07,RFC 1,https://www.rfc-editor.org/rfc/rfc1.txt,https://www.rfc-editor.org/info/rfc1/,RFC distribution terms,"ARPANET;host software;IMP;Host-IMP;RFNM",started,"Earliest RFC; preserve tentative design language and exact message/packet values"
SRC-0002,index,RFC Index,RFC Editor,1969-,RFC Index,https://www.rfc-editor.org/rfc-index/,,public web index,"RFC;protocol documents",started,"Canonical discovery spine for RFC corpus"
SRC-0003,technical-report,A History of the ARPANET: The First Decade,BBN,1981-04,BBN Report 4799,,"https://commons.wikimedia.org/wiki/File:A_History_of_the_ARPANET,_The_First_Decade,_BBN_Report_4799,_April_1981.pdf",verify,"ARPANET;IMP;BBN;operations",started,"183-page report; mine page-by-page"
SRC-0004,technical-report,Completion Report: ARPA Network Development,"Frank Heart; Alex McKenzie; John McQuillan; Dave Walden",1978,ARPA Network Development Completion Report,,https://commons.wikimedia.org/wiki/File:Arpanet_Completion_Report.pdf,verify,"ARPANET;IMP;routing;engineering",started,"Primary engineering report"
SRC-0005,institutional-history,NPL History Timeline,National Physical Laboratory,ongoing,NPL timeline,https://www.npl.co.uk/about-us/history/timeline,,web,"NPL;Donald Davies;packet switching",started,"Use as institutional chronology; recover underlying NPL reports"
SRC-0006,institutional-history,Louis Pouzin and the Internet,Inria,ongoing,,https://www.inria.fr/en/louis-pouzin-et-internet,,web,"CYCLADES;CIGALE;datagram;Louis Pouzin",started,"Discovery source for project documents"
SRC-0007,institutional-history,ARPANET and Internet in France: milestones,Inria,ongoing,,https://www.inria.fr/en/arpanet-internet-france-some-milestones,,web,"CYCLADES;CIGALE;Mitra 15;France",started,"Useful hardware/topology leads"
SRC-0008,institutional-history,ALOHAnet history,University of Hawaiʻi College of Engineering,ongoing,,https://www.eng.hawaii.edu/about/history/alohanet/,,web,"ALOHAnet;packet radio;ALOHA",started,"Dates June 1971 service milestone"
SRC-0009,institutional-history,Networking and the Web Timeline,Computer History Museum,ongoing,CHM timeline,https://www.computerhistory.org/timeline/networking-the-web/,,web,"modems;SAGE;Ethernet;networking",started,"Discovery timeline; model-level claims require primary confirmation"
SRC-0010,institutional-history,Computer Timeline,Computer History Museum,ongoing,CHM timeline,https://www.computerhistory.org/timeline/computers/,,web,"SAGE;SABRE;terminals;computers",started,"Hardware/context discovery"
SRC-0011,participant-history,A Brief History of the Internet,"Barry Leiner et al.",1997-,Internet Society history,https://www.internetsociety.org/internet/history-internet/brief-history-internet/,,web,"Internet;TCP/IP;DNS;institutions",started,"Participant synthesis; cross-check archival claims"
SRC-0012,participant-history,History of the Internet & Related Networks,Vint Cerf,ongoing,Internet Society history,https://www.internetsociety.org/internet/history-internet/brief-history-internet-related-networks/,,web,"CSNET;BITNET;Internetting;related networks",started,"Valuable because it explicitly preserves non-ARPANET networks"
SRC-0013,historical-project,NSFNET Timeline,NSFNET History Project,ongoing,,https://nsf.net/timeline,,web,"NSFNET;backbone;commercialization",started,"Updated historical reconstruction; trace claims to retained scans when possible"
SRC-0014,historical-project,NSFNET Backbone,NSFNET History Project,ongoing,,https://nsf.net/projects/backbone,,web,"Fuzzball;PDP-11;IBM RT;RS/6000;NSFNET",started,"Critical hardware architecture leads"
SRC-0015,historical-project,NSFNET Achievements,NSFNET History Project,ongoing,,https://nsf.net/achievements,,web,"NSFNET;traffic;growth",started,"Traffic/network-count milestones"
SRC-0016,institutional-history,The NSFNET Backbone Service,Merit Network,ongoing,,https://www.merit.edu/research/projects/the-nsfnet-backbone-service/,,web,"NSFNET;Merit;IBM;MCI",started,"Institutional backbone history"
SRC-0017,oral-history-synthesis,The History of Computer Communications,James Pelkey,1988-2007,,https://historyofcomputercommunications.info/,,web,"modems;LANs;network companies;interviews",started,"Based on 80+ interviews; verify exact product chronology against primary records"
SRC-0018,academic-book,Inventing the Internet,Janet Abbate,1999,ISBN/edition to record,https://mitpress.mit.edu/9780262511155/inventing-the-internet/,,copyrighted,"Internet history;standards;international history",started,"Major scholarly synthesis"
SRC-0019,book,Where Wizards Stay Up Late,"Katie Hafner; Matthew Lyon",1996,ISBN to record,,,copyrighted,"ARPANET;BBN;people",seed,"Readable narrative; use anecdotes as leads"
SRC-0020,academic-book,Open Standards and the Digital Age,Andrew L. Russell,2014,ISBN to record,,,copyrighted,"OSI;standards;open systems;Internet",seed,"Major standards-history interpretation"
SRC-0021,book-web,Netizens: On the History and Impact of Usenet and the Internet,"Michael Hauben; Ronda Hauben",1990s,,https://www.columbia.edu/~hauben/Book_Anniversary/,,web,"Usenet;Internet culture;community",started,"Early social/network history; pair with Usenet archives"
SRC-0022,engineering-history,Ethernet history / IEEE milestone materials,IEEE Communications Society,ongoing,,https://www.comsoc.org/node/19561,,web,"Ethernet;ALOHAnet;IEEE",started,"Discovery source; locate original 1973 memo and DIX/802 documents"
SRC-0023,engineering-history,X.25 history / IEEE milestone materials,IEEE Communications Society,ongoing,,https://www.comsoc.org/node/19621,,web,"X.25;CCITT;public data networks",started,"Discovery source; obtain edition-specific CCITT texts"
SRC-0024,standards-corpus,CCITT/ITU-T V-Series Recommendations,CCITT/ITU-T,1950s-,,ITU V-series,,copyright varies,"modems;data communication",seed,"Track each recommendation and edition separately"
SRC-0025,standards-corpus,CCITT/ITU-T X-Series Recommendations,CCITT/ITU-T,1960s-,,ITU X-series,,copyright varies,"X.25;X.3;X.28;X.29;X.75;OSI-adjacent",started,"1976 X.25/PAD materials now mined; continue colored-book edition diffs"
SRC-0026,standards-corpus,IEEE 802 Standards,IEEE,1980-,,IEEE 802,,copyrighted,"Ethernet;Token Ring;bridging;LAN",seed,"Metadata and lawful locations; do not bulk mirror copyrighted standards"
